riscv,uopc,iq,fu,category,token,medium_ports,hw_units,demand,prior_w_mA
FADD_D,uopFADD_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FSUB_D,uopFSUB_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FMUL_D,uopFMUL_D,FP,FU_FPU,FP_ALU,HIGH,FP0,"FPU,fpRF",medium,32
FMADD_S,uopFMADD_S,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FMSUB_S,uopFMSUB_S,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FNMADD_S,uopFNMADD_S,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FNMSUB_S,uopFNMSUB_S,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FMADD_D,uopFMADD_D,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FMSUB_D,uopFMSUB_D,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FNMADD_D,uopFNMADD_D,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FNMSUB_D,uopFNMSUB_D,FP,FU_FPU,FP_FMA,HIGH,FP0,"FPU,fpRF",medium,40
FDIV_S,uopFDIV_S,FP,FU_FDV,FP_DIV,HIGH,FP0,"FDiv/Sqrt,fpRF",long,45
FDIV_D,uopFDIV_D,FP,FU_FDV,FP_DIV,HIGH,FP0,"FDiv/Sqrt,fpRF",long,45
FSQRT_S,uopFSQRT_S,FP,FU_FDV,FP_DIV,HIGH,FP0,"FDiv/Sqrt,fpRF",long,45
FSQRT_D,uopFSQRT_D,FP,FU_FDV,FP_DIV,HIGH,FP0,"FDiv/Sqrt,fpRF",long,45
CUSTOM0,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM0_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM0_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM0_RD,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM0_RD_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM0_RD_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM1_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM1_RS1_RS2,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM1_RD,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
CUSTOM1_RD_RS1,uopROCC,INT,FU_CSR,INT_CSR,MID,INT1,"CSR pipe,intRF",short,12
